ID;Categoria;Titulo;Marca;Modelo;Detalles;Imagen1;Precio;Cantidad
1;Bicicleta;Mountain Bike Firebird R29 Doble suspensión;Firebird;R29 Doble suspensión;Género: Unisex, Material del cuadro: Acero, Número de cambios: 21, Tipo de freno: Disco mecánico, Suspensión: Doble, Rodado: 29, Modelo: DobSusRodado29, Tipo: Mountain Bike, Manubrio: Acero, Pedal: Plástico, Peso: 15 kg, Origen: China, Garantía del proveedor: 3 meses, Requiere armado: Sí, Info Adicional: No;FireBird-doble-suspension-R29.jpeg;71999;50
2;Bicicleta;Todoterreno Aurora Bacota;Aurora;Bacota;Género: Unisex, Material del cuadro: Aluminio, Número de cambios: 7, Tipo de freno: Disco mecánico Shimano, Suspensión: Doble, Rodado: Especial 26x4, Modelo: Bacota, Tipo: Mountain Bike, Manubrio: Chopero Acero, Pedal: Acero, Peso: 9 Kg, Origen: China, Garantía del proveedor: 6 meses, Requiere armado: Sí, Info Adicional: Ruedas ultraresistentes que previenen pinchaduras;Aurora-bacota.jpg;98000;30
3;Bicicleta;Mountain Kike Teknial Tarpan 100er;Teknial;Tarpan 100er;Género: Hombre, Material del cuadro: Aluminio, Número de cambios: 21, Tipo de freno: Disco mecánico Shimano, Suspensión: Simple, Rodado: 29, Modelo: Tarpan, Tipo: Mountain Bike, Manubrio: Acero MTB, Pedal: Plásticos, Peso: 14 kg, Origen: China, Garantía del proveedor: 12 meses, Requiere armado: No, Info Adicional: No;mountain-bike-teknial-tarpan-100er-2021.jpg;52000;50
4;Bicicleta;Eléctrica plegable Ride Daily 250W 13AH;Ride Daily;ID V;Género: Unisex, Material del cuadro: Aluminio, Número de cambios: 6, Tipo de freno: Disco mecánico, Suspensión: Delantera, Rodado: 20, Modelo: ID V, Tipo: Eléctrica, Manubrio: Aluminio, Pedal: Plástico, Peso: 15 kg, Origen: Origen, Garantía del proveedor: 2 años, Requiere armado: No, Info Adicional: Motor 250Wh 8FUN japonés Batería SAMSUNG 13AH : 60km de autonomía. Sistema de asistencia al pedaleo, velocidad máxima limitada segun la ley a 25km/h;Ride-Daily-250W-13AH.jpeg;248800;5
5;Bicicleta;Playera Randers BKE-001;RANDERS;BKE-001;Género: Unisex, Material del cuadro: Acero, Número de cambios: Sin cambios, Tipo de freno: Contrapedal, Suspensión: Sin suspensión, Rodado: 26, Modelo: BKE-001-B, Tipo: Urbana, Manubrio: Acero, Pedal: Plástico, Peso: 14 kg, Origen: Argentina, Garantía del proveedor: 6 meses, Requiere armado: No, Info Adicional: No;Playera-Randers-BKE-001.jpg;28000;50
6;Bicicleta;Mountain Bike Firebird R28;Firebird;R28;Género: Unisex, Material del cuadro: Acero, Número de cambios: 21, Tipo de freno: Disco mecánico, Suspensión: Doble, Rodado: 29, Modelo: DobSusRodado29, Tipo: Mountain Bike, Manubrio: Acero, Pedal: Plástico, Peso: 15 kg, Origen: China, Garantía del proveedor: 3 meses, Requiere armado: No, Info Adicional: No;Mountain-Bike-Firebird-R28.jpeg;72000;100
7;Bicicleta;Infantil Releigh MXR R12;RALEIGH;MXR R12;Género: Infantil, Material del cuadro: Aluminio, Número de cambios: 1, Tipo de freno: V-brake, Suspensión: Sin suspensión, Rodado: 12, Modelo: MXR - Rodado 1, Tipo: Infantil, Manubrio: Acero, Pedal: Plástico, Peso: 9 kg, Origen: China, Garantía del proveedor: 3 meses, Requiere armado: Sí, Info Adicional: Regulable;Infantil-Releigh-MXR-R12.jpeg;49000;10
8;Bicicleta;De paseo Randers BKE-300;RANDERS;BKE-300;Género: Mujer, Material del cuadro: Acero, Número de cambios: Sin cambios, Tipo de freno: V-brake, Suspensión: Sin suspensión, Rodado: 26, Modelo: BKE-300-A, Tipo: Urbana, Manubrio: Acero, Pedal: Plástico, Peso: 15 kg, Origen: Argentina, Garantía del proveedor: 6 meses, Requiere armado: No;Randers-BKE-300.jpeg;28900;50
9;Bicicleta;Infantil Randers BMX BKE-100;RANDERS;BKE-100;Género: Infantil, Material del cuadro: Acero, Número de cambios: Sin cambios, Tipo de freno: No aplica, Suspensión: Sin suspensión, Rodado: 20, Modelo: BKE-100-B, Tipo: Infantil, Manubrio: Acero, Pedal: Plástico, Peso: 11 kg, Origen: Argentina, Garantía del proveedor: 6 meses, Requiere armado: No, Info Adicional: Tamaño de 8 a 14 años;Infantil-Randers-BMX-BKE-100.jpeg;27000;50
10;Bicicleta;Bicicleta eléctrica Trimove CJ Ebike;Trimove;CJ Ebike;Género: Unisex, Material del cuadro: Aluminio, Número de cambios: 7, Tipo de freno: Disco mecánico, Suspensión: Delantera, Rodado: 16, Modelo: Trimove CJ, Tipo: Eléctrica, Manubrio: Aluminio, Pedal: Aluminio, Peso: 18 kg, Origen: China, Garantía del proveedor: 6 meses, Requiere armado: No, Info Adicional: Batería Litio Ion;Bicicleta-electrica-Trimove-CJ-Ebike.jpeg;207000;10
